lot_id,first_issue_date,first_issue_year,outcome,lot_size_original,lot_size_source,land_width,land_depth,geolocalarea,roll_number,folioID,PID,site_id,tax_coord,lot_size_missing
,2017-01-04,2017,sf_rebuild_or_upgrade,,,,,West End,027607109560000,,,024380482,60710956,TRUE
000179710,2017-02-21,2017,sf_rebuild_or_upgrade,9000,residentialInventory,90,100,Downtown,00020010,A0000HR7QA,000179710,015642623,19060127,FALSE
000328553,2019-09-16,2019,sf_rebuild_or_upgrade,7800,residentialInventory,62.4,125,West End,85598000,A0000D5615,000328553,025491792,60611984,FALSE
002401100,2021-03-24,2021,sf_rebuild_or_upgrade,,residentialInventory,,,Mount Pleasant,013645197060027,A000001PB4,002401100,VAS1025,64519706,TRUE
002402076,2017-10-19,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kitsilano,002097629070037,A0000004WB,002402076,VAS464,09762907,TRUE
002404613,2019-01-22,2019,sf_rebuild_or_upgrade,2871,residentialInventory,33,87,Kensington-Cedar Cottage,014265655640000,A000001V3P,002404613,002404613,26565564,FALSE
002407949,2024-04-24,2024,duplex,3847.8,residentialInventory,33,116.6,Hastings-Sunrise,021616296600000,A000002UFA,002407949,EPS10769,61629660,FALSE
002417154,2022-10-04,2022,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027617114050020,A000003YEY,002417154,VAS414,61711405,TRUE
002417634,2018-08-16,2018,sf_rebuild_or_upgrade,,residentialInventory,,,Kitsilano,002096627660013,A0000004T1,002417634,VAS277,09662766,TRUE
002417839,2020-07-30,2020,sf_rebuild_or_upgrade,,residentialInventory,,,Fairview,007688130040008,A00000145F,002417839,VAS90,68813004,TRUE
002418878,2023-03-03,2023,sf_rebuild_or_upgrade,6039,residentialInventory,49.5,122,Kensington-Cedar Cottage,023266705810000,A0000030YJ,002418878,002418878,26670581,FALSE
002422697,2017-03-10,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Arbutus Ridge,004090710050008,A000000LGX,002422697,VAS610,09071005,TRUE
002424363,2023-07-11,2023,sf_rebuild_or_upgrade,,residentialInventory,,,Downtown,026124602890001,A000003JQ2,002424363,VAS1215,12460289,TRUE
002425521,2024-07-16,2024,sf_rebuild_or_upgrade,5848,residentialInventory,40,146.2,Renfrew-Collingwood,023713306220000,A0000034PX,002425521,002425521,71330622,FALSE
002425840,2024-09-12,2024,sf_rebuild_or_upgrade,,residentialInventory,,,Grandview-Woodland,014588255490001,A000001WM1,002425840,VAS1345,58825549,TRUE
002427427,2021-11-19,2021,sf_rebuild_or_upgrade,5445,residentialInventory,49.5,110,Kensington-Cedar Cottage,019225719500000,A000002JUV,002427427,002427427,22571950,FALSE
002430819,2022-10-04,2022,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027617114050009,A000003YEM,002430819,VAS414,61711405,TRUE
002435586,2020-12-15,2020,sf_rebuild_or_upgrade,,residentialInventory,,,Kitsilano,002092627800008,A0000004ME,002435586,VAS392,09262780,TRUE
002436507,2025-06-04,2025,sf_rebuild_or_upgrade,9600.75,residentialInventory,76.5,125.5,Kerrisdale,010122758060000,A000001B6S,002436507,002436507,12275806,FALSE
002437741,2023-07-11,2023,sf_rebuild_or_upgrade,,residentialInventory,,,Downtown,026124602890006,A000003JQ7,002437741,VAS1215,12460289,TRUE
002439433,2022-11-02,2022,sf_rebuild_or_upgrade,9447.9,residentialInventory,77,122.7,Shaughnessy,008121717070000,A00000158E,002439433,002439433,12171707,FALSE
002440903,2019-07-17,2019,sf_rebuild_or_upgrade,,residentialInventory,,,Downtown,026579186420008,A000003LLV,002440903,VAS1232,57918642,TRUE
002441136,2023-07-11,2023,sf_rebuild_or_upgrade,,residentialInventory,,,Downtown,026124602890003,A000003JQ4,002441136,VAS1215,12460289,TRUE
002441357,2023-07-11,2023,sf_rebuild_or_upgrade,,residentialInventory,,,Downtown,026124602890013,A000003JQE,002441357,VAS1215,12460289,TRUE
002441411,2025-05-16,2025,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027613119390029,A000003X9P,002441411,031972462,61311945,TRUE
002441705,2017-02-23,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kitsilano,002631087790024,A00000064S,002441705,VAS564,63108779,TRUE
002442264,2018-08-09,2018,sf_rebuild_or_upgrade,,residentialInventory,,,Kitsilano,002630062060011,A0000005H1,002442264,VAS94,63006206,TRUE
002442736,2025-11-27,2025,sf_rebuild_or_upgrade,,residentialInventory,,,Mount Pleasant,013645210960004,A000001PNB,002442736,VAS1176,64521096,TRUE
002445174,2023-10-11,2023,sf_rebuild_or_upgrade,5307.55,residentialInventory,50.5,105.1,Victoria-Fraserview,017790231940000,A000002CP6,002445174,002445174,79023194,FALSE
002445638,2017-11-27,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027120601770054,A000003S5X,002445638,VAS1023,12060177,TRUE
002445913,2019-10-10,2019,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027615118690015,A000003XU4,002445913,VAS1351,61511869,TRUE
002454181,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940001,A000003VEK,002454181,VAS374,60611094,TRUE
002454203,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940002,A000003VEL,002454203,VAS374,60611094,TRUE
002454220,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940003,A000003VEM,002454220,VAS374,60611094,TRUE
002454238,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940004,A000003VEN,002454238,VAS374,60611094,TRUE
002454246,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940005,A000003VEP,002454246,VAS374,60611094,TRUE
002454254,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940006,A000003VEQ,002454254,VAS374,60611094,TRUE
002454262,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940007,A000003VER,002454262,VAS374,60611094,TRUE
002454289,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940008,A000003VES,002454289,VAS374,60611094,TRUE
002454297,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940009,A000003VET,002454297,VAS374,60611094,TRUE
002454378,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940010,A000003VEU,002454378,VAS374,60611094,TRUE
002454394,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940011,A000003VEV,002454394,VAS374,60611094,TRUE
002454416,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940012,A000003VEW,002454416,VAS374,60611094,TRUE
002454432,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940013,A000003VEX,002454432,VAS374,60611094,TRUE
002454459,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940014,A000003VEY,002454459,VAS374,60611094,TRUE
002454475,2017-09-14,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027606110940015,A000003VEZ,002454475,VAS374,60611094,TRUE
